measurement,player,team,speed,heart_rate,time
player_stats,Pedri,Barcelona,23.7,124.4,1735732800000000000
player_stats,Vinicius,RealMadrid,29.2,128.9,1735732820000000000
player_stats,Bellingham,RealMadrid,24.6,178.8,1735732840000000000
player_stats,Vinicius,RealMadrid,28.8,151.5,1735732860000000000
player_stats,Pedri,Barcelona,25.0,170.5,1735732880000000000
player_stats,Pedri,Barcelona,23.8,167.6,1735732900000000000
player_stats,Pedri,Barcelona,28.9,176.6,1735732920000000000
player_stats,Pedri,Barcelona,28.8,149.6,1735732940000000000
player_stats,Pedri,Barcelona,22.6,146.5,1735732960000000000
player_stats,Bellingham,RealMadrid,29.6,137.5,1735732980000000000
player_stats,Pedri,Barcelona,29.3,125.1,1735733000000000000
player_stats,Bellingham,RealMadrid,25.2,164.4,1735733020000000000
player_stats,Bellingham,RealMadrid,22.3,184.2,1735733040000000000
player_stats,Bellingham,RealMadrid,21.0,169.8,1735733060000000000
player_stats,Vinicius,RealMadrid,20.8,170.4,1735733080000000000
player_stats,Bellingham,RealMadrid,33.9,136.7,1735733100000000000
player_stats,Bellingham,RealMadrid,26.1,155.2,1735733120000000000
player_stats,Bellingham,RealMadrid,27.5,143.0,1735733140000000000
player_stats,Bellingham,RealMadrid,26.5,136.8,1735733160000000000
player_stats,Bellingham,RealMadrid,26.0,138.0,1735733180000000000
player_stats,Bellingham,RealMadrid,24.9,139.7,1735733200000000000
player_stats,Pedri,Barcelona,24.4,177.2,1735733220000000000
player_stats,Pedri,Barcelona,27.0,121.1,1735733240000000000
player_stats,Bellingham,RealMadrid,23.1,155.2,1735733260000000000
player_stats,Vinicius,RealMadrid,30.1,172.9,1735733280000000000
player_stats,Bellingham,RealMadrid,27.0,181.6,1735733300000000000
player_stats,Vinicius,RealMadrid,22.3,152.5,1735733320000000000
player_stats,Vinicius,RealMadrid,30.2,147.5,1735733340000000000
player_stats,Bellingham,RealMadrid,29.8,183.2,1735733360000000000
player_stats,Vinicius,RealMadrid,32.3,163.8,1735733380000000000
player_stats,Vinicius,RealMadrid,23.8,130.1,1735733400000000000
player_stats,Vinicius,RealMadrid,33.4,168.8,1735733420000000000
player_stats,Pedri,Barcelona,31.4,138.6,1735733440000000000
player_stats,Bellingham,RealMadrid,34.0,141.9,1735733460000000000
player_stats,Bellingham,RealMadrid,25.4,171.7,1735733480000000000
player_stats,Bellingham,RealMadrid,33.9,135.2,1735733500000000000
player_stats,Vinicius,RealMadrid,29.2,120.1,1735733520000000000
player_stats,Bellingham,RealMadrid,35.6,168.8,1735733540000000000
player_stats,Vinicius,RealMadrid,31.0,144.2,1735733560000000000
player_stats,Bellingham,RealMadrid,24.0,127.6,1735733580000000000
player_stats,Bellingham,RealMadrid,35.3,145.8,1735733600000000000
player_stats,Bellingham,RealMadrid,30.9,176.3,1735733620000000000
player_stats,Vinicius,RealMadrid,22.3,169.3,1735733640000000000
player_stats,Vinicius,RealMadrid,21.9,148.0,1735733660000000000
player_stats,Pedri,Barcelona,21.3,129.2,1735733680000000000
player_stats,Pedri,Barcelona,21.5,120.4,1735733700000000000
player_stats,Bellingham,RealMadrid,33.6,150.4,1735733720000000000
player_stats,Vinicius,RealMadrid,33.2,167.4,1735733740000000000
player_stats,Bellingham,RealMadrid,30.1,162.4,1735733760000000000
player_stats,Vinicius,RealMadrid,25.3,178.0,1735733780000000000
player_stats,Vinicius,RealMadrid,20.3,149.3,1735733800000000000
player_stats,Pedri,Barcelona,26.7,174.6,1735733820000000000
player_stats,Vinicius,RealMadrid,21.9,179.1,1735733840000000000
player_stats,Vinicius,RealMadrid,26.3,159.5,1735733860000000000
player_stats,Vinicius,RealMadrid,20.4,162.9,1735733880000000000
player_stats,Pedri,Barcelona,35.5,144.5,1735733900000000000
player_stats,Vinicius,RealMadrid,29.5,154.1,1735733920000000000
player_stats,Vinicius,RealMadrid,22.2,180.6,1735733940000000000
player_stats,Bellingham,RealMadrid,35.1,128.3,1735733960000000000
player_stats,Bellingham,RealMadrid,30.6,157.8,1735733980000000000
player_stats,Vinicius,RealMadrid,32.0,124.6,1735734000000000000
player_stats,Vinicius,RealMadrid,28.5,153.3,1735734020000000000
player_stats,Bellingham,RealMadrid,29.6,144.5,1735734040000000000
player_stats,Vinicius,RealMadrid,29.4,162.1,1735734060000000000
player_stats,Pedri,Barcelona,35.7,159.7,1735734080000000000
player_stats,Bellingham,RealMadrid,27.8,150.2,1735734100000000000
player_stats,Pedri,Barcelona,32.6,134.3,1735734120000000000
player_stats,Vinicius,RealMadrid,35.5,149.8,1735734140000000000
player_stats,Vinicius,RealMadrid,33.2,160.7,1735734160000000000
player_stats,Bellingham,RealMadrid,22.1,147.3,1735734180000000000
player_stats,Pedri,Barcelona,23.3,155.2,1735734200000000000
player_stats,Pedri,Barcelona,35.9,138.8,1735734220000000000
player_stats,Vinicius,RealMadrid,28.3,137.6,1735734240000000000
player_stats,Vinicius,RealMadrid,34.0,153.1,1735734260000000000
player_stats,Bellingham,RealMadrid,23.5,183.5,1735734280000000000
player_stats,Vinicius,RealMadrid,23.5,183.5,1735734300000000000
player_stats,Bellingham,RealMadrid,30.4,129.6,1735734320000000000
player_stats,Vinicius,RealMadrid,31.7,179.8,1735734340000000000
player_stats,Vinicius,RealMadrid,21.8,178.4,1735734360000000000
player_stats,Bellingham,RealMadrid,26.0,171.9,1735734380000000000
player_stats,Vinicius,RealMadrid,30.6,169.4,1735734400000000000
player_stats,Vinicius,RealMadrid,25.4,140.7,1735734420000000000
player_stats,Pedri,Barcelona,35.2,135.3,1735734440000000000
player_stats,Bellingham,RealMadrid,34.7,156.0,1735734460000000000
player_stats,Bellingham,RealMadrid,32.1,123.2,1735734480000000000
player_stats,Vinicius,RealMadrid,22.7,168.7,1735734500000000000
player_stats,Pedri,Barcelona,29.7,141.6,1735734520000000000
player_stats,Vinicius,RealMadrid,22.0,142.6,1735734540000000000
player_stats,Vinicius,RealMadrid,31.0,177.1,1735734560000000000
player_stats,Bellingham,RealMadrid,23.0,170.3,1735734580000000000
player_stats,Vinicius,RealMadrid,28.2,174.1,1735734600000000000
player_stats,Bellingham,RealMadrid,34.3,139.7,1735734620000000000
player_stats,Bellingham,RealMadrid,30.1,177.6,1735734640000000000
player_stats,Pedri,Barcelona,30.2,150.7,1735734660000000000
player_stats,Bellingham,RealMadrid,28.2,175.7,1735734680000000000
player_stats,Pedri,Barcelona,26.2,176.2,1735734700000000000
player_stats,Pedri,Barcelona,34.5,155.2,1735734720000000000
player_stats,Bellingham,RealMadrid,31.3,157.0,1735734740000000000
player_stats,Bellingham,RealMadrid,27.5,166.5,1735734760000000000
player_stats,Vinicius,RealMadrid,21.2,122.6,1735734780000000000
player_stats,Pedri,Barcelona,21.8,157.1,1735734800000000000
player_stats,Vinicius,RealMadrid,30.8,151.7,1735734820000000000
player_stats,Pedri,Barcelona,34.2,162.4,1735734840000000000
player_stats,Pedri,Barcelona,24.1,134.7,1735734860000000000
player_stats,Pedri,Barcelona,28.5,151.0,1735734880000000000
player_stats,Vinicius,RealMadrid,23.0,172.3,1735734900000000000
player_stats,Pedri,Barcelona,33.8,137.6,1735734920000000000
player_stats,Pedri,Barcelona,27.1,178.3,1735734940000000000
player_stats,Vinicius,RealMadrid,27.3,125.4,1735734960000000000
player_stats,Bellingham,RealMadrid,28.7,165.9,1735734980000000000
player_stats,Pedri,Barcelona,29.8,157.2,1735735000000000000
player_stats,Vinicius,RealMadrid,35.3,168.9,1735735020000000000
player_stats,Pedri,Barcelona,26.8,176.6,1735735040000000000
player_stats,Pedri,Barcelona,32.8,151.4,1735735060000000000
player_stats,Pedri,Barcelona,31.3,133.7,1735735080000000000
player_stats,Vinicius,RealMadrid,31.3,150.9,1735735100000000000
player_stats,Vinicius,RealMadrid,30.0,157.6,1735735120000000000
player_stats,Vinicius,RealMadrid,33.5,134.5,1735735140000000000
player_stats,Pedri,Barcelona,26.1,174.8,1735735160000000000
player_stats,Pedri,Barcelona,26.0,126.5,1735735180000000000
player_stats,Bellingham,RealMadrid,21.4,127.0,1735735200000000000
player_stats,Bellingham,RealMadrid,33.2,153.2,1735735220000000000
player_stats,Bellingham,RealMadrid,28.5,169.5,1735735240000000000
player_stats,Vinicius,RealMadrid,22.6,171.1,1735735260000000000
player_stats,Vinicius,RealMadrid,22.8,138.0,1735735280000000000
player_stats,Vinicius,RealMadrid,27.6,183.5,1735735300000000000
player_stats,Vinicius,RealMadrid,25.6,153.2,1735735320000000000
player_stats,Vinicius,RealMadrid,32.0,162.6,1735735340000000000
player_stats,Bellingham,RealMadrid,28.6,179.4,1735735360000000000
player_stats,Vinicius,RealMadrid,28.5,135.8,1735735380000000000
player_stats,Pedri,Barcelona,23.3,138.1,1735735400000000000
player_stats,Pedri,Barcelona,33.0,167.9,1735735420000000000
player_stats,Pedri,Barcelona,33.8,174.6,1735735440000000000
player_stats,Pedri,Barcelona,28.0,138.0,1735735460000000000
player_stats,Pedri,Barcelona,34.5,176.2,1735735480000000000
player_stats,Vinicius,RealMadrid,31.6,146.7,1735735500000000000
player_stats,Vinicius,RealMadrid,24.8,144.4,1735735520000000000
player_stats,Pedri,Barcelona,29.0,141.4,1735735540000000000
player_stats,Bellingham,RealMadrid,25.5,159.8,1735735560000000000
player_stats,Bellingham,RealMadrid,24.3,180.2,1735735580000000000
player_stats,Bellingham,RealMadrid,24.3,159.3,1735735600000000000
player_stats,Bellingham,RealMadrid,32.9,148.2,1735735620000000000
player_stats,Bellingham,RealMadrid,20.2,139.3,1735735640000000000
player_stats,Pedri,Barcelona,30.2,128.6,1735735660000000000
player_stats,Vinicius,RealMadrid,21.8,128.6,1735735680000000000
player_stats,Pedri,Barcelona,30.0,175.8,1735735700000000000
player_stats,Pedri,Barcelona,34.6,156.0,1735735720000000000
player_stats,Pedri,Barcelona,21.6,183.8,1735735740000000000
player_stats,Bellingham,RealMadrid,35.5,175.9,1735735760000000000
player_stats,Vinicius,RealMadrid,24.3,128.7,1735735780000000000
player_stats,Bellingham,RealMadrid,29.4,181.1,1735735800000000000
player_stats,Vinicius,RealMadrid,21.5,168.1,1735735820000000000
player_stats,Vinicius,RealMadrid,28.8,183.8,1735735840000000000
player_stats,Bellingham,RealMadrid,21.5,173.1,1735735860000000000
player_stats,Vinicius,RealMadrid,34.8,180.3,1735735880000000000
player_stats,Pedri,Barcelona,24.3,154.6,1735735900000000000
player_stats,Vinicius,RealMadrid,29.5,154.9,1735735920000000000
player_stats,Bellingham,RealMadrid,25.0,156.1,1735735940000000000
player_stats,Pedri,Barcelona,22.6,137.0,1735735960000000000
player_stats,Pedri,Barcelona,30.0,120.5,1735735980000000000
player_stats,Pedri,Barcelona,22.5,132.2,1735736000000000000
player_stats,Bellingham,RealMadrid,30.1,138.5,1735736020000000000
player_stats,Bellingham,RealMadrid,32.2,133.1,1735736040000000000
player_stats,Bellingham,RealMadrid,32.0,159.8,1735736060000000000
player_stats,Bellingham,RealMadrid,25.7,169.2,1735736080000000000
player_stats,Pedri,Barcelona,28.2,166.4,1735736100000000000
player_stats,Pedri,Barcelona,27.1,145.7,1735736120000000000
player_stats,Vinicius,RealMadrid,34.0,123.2,1735736140000000000
player_stats,Pedri,Barcelona,24.5,132.1,1735736160000000000
player_stats,Bellingham,RealMadrid,33.7,145.6,1735736180000000000
player_stats,Bellingham,RealMadrid,36.0,180.1,1735736200000000000
player_stats,Pedri,Barcelona,34.5,182.3,1735736220000000000
player_stats,Bellingham,RealMadrid,32.0,156.6,1735736240000000000
player_stats,Bellingham,RealMadrid,26.8,151.8,1735736260000000000
player_stats,Vinicius,RealMadrid,24.8,142.7,1735736280000000000
player_stats,Pedri,Barcelona,29.8,184.8,1735736300000000000
player_stats,Bellingham,RealMadrid,23.9,166.7,1735736320000000000
player_stats,Vinicius,RealMadrid,35.3,168.8,1735736340000000000
player_stats,Vinicius,RealMadrid,27.6,121.2,1735736360000000000
player_stats,Pedri,Barcelona,30.6,158.0,1735736380000000000
player_stats,Vinicius,RealMadrid,31.6,179.6,1735736400000000000
player_stats,Vinicius,RealMadrid,29.7,166.9,1735736420000000000
player_stats,Bellingham,RealMadrid,35.9,152.7,1735736440000000000
player_stats,Bellingham,RealMadrid,21.2,182.4,1735736460000000000
player_stats,Pedri,Barcelona,33.1,161.4,1735736480000000000
player_stats,Bellingham,RealMadrid,22.1,176.2,1735736500000000000
player_stats,Vinicius,RealMadrid,20.8,130.1,1735736520000000000
player_stats,Pedri,Barcelona,23.7,145.1,1735736540000000000
player_stats,Pedri,Barcelona,20.7,153.1,1735736560000000000
player_stats,Vinicius,RealMadrid,35.1,173.4,1735736580000000000
player_stats,Pedri,Barcelona,30.0,161.4,1735736600000000000
player_stats,Pedri,Barcelona,31.6,148.8,1735736620000000000
