date,home_team,away_team,team,scorer,minute,own_goal,penalty
2023-10-26,Crystal Palace,Luton Town,Crystal Palace,Carlos C.,59,,nan
2023-10-25,Bournemouth,Tottenham,Bournemouth,Luis D.,29,,nan
2023-10-10,Newcastle Utd,Tottenham,Newcastle Utd,Luis E.,94,,nan
2023-09-16,Crystal Palace,Leicester,Crystal Palace,Pedro J.,80,,nan
2023-09-21,Newcastle Utd,Arsenal,Arsenal,A P.,56,,nan
2023-10-28,Fulham,Sheffield Utd,Fulham,Joel B.,3,,nan
2023-10-27,Bournemouth,Nottingham Forest,Bournemouth,Carlos G.,30,,nan
2023-10-21,Fulham,Liverpool,Liverpool,Marco J.,36,,nan
2023-09-18,Brighton,Luton Town,Luton Town,Carlos C.,30,1.0,nan
2023-09-27,Brighton,Man City,Brighton,Pedro A.,67,,nan
2023-09-11,Newcastle Utd,Tottenham,Tottenham,Pedro J.,20,,pen
2023-10-27,Burnley,Nottingham Forest,Nottingham Forest,J R.,53,,nan
2023-09-18,Everton,Arsenal,Arsenal,Alex F.,34,,nan
2023-10-19,Burnley,Wolves,Wolves,Luis B.,3,,nan
2023-10-30,Everton,Sheffield Utd,Sheffield Utd,J I.,33,,nan
2023-09-27,Burnley,Chelsea,Burnley,G D.,44,,pen
2023-10-27,Everton,Tottenham,Tottenham,Joel F.,32,,nan
2023-09-20,West Ham,Liverpool,West Ham,Pablo M.,58,,nan
2023-10-02,Brentford,Wolves,Brentford,C L.,70,,nan
2023-09-03,Burnley,Nottingham Forest,Burnley,Pedro C.,37,,pen
2023-10-25,Bournemouth,Man City,Bournemouth,Carlos E.,48,,nan
2023-10-30,Burnley,Wolves,Wolves,Ivan H.,5,,nan
2023-10-04,Bournemouth,Luton Town,Luton Town,Marco E.,94,,nan
2023-10-17,Aston Villa,Arsenal,Aston Villa,Luis C.,18,,nan
2023-10-11,Burnley,Nottingham Forest,Nottingham Forest,Marco C.,66,,pen
2023-10-07,Everton,Man City,Everton,C M.,55,,nan
2023-10-29,West Ham,Liverpool,West Ham,D M.,41,,pen
2023-09-18,Newcastle Utd,Sheffield Utd,Sheffield Utd,Ivan B.,28,,nan
2023-09-17,Fulham,Tottenham,Tottenham,Ruben M.,21,,nan
2023-10-22,Crystal Palace,Sheffield Utd,Crystal Palace,Pedro H.,67,,pen
2023-10-15,Bournemouth,Sheffield Utd,Bournemouth,David C.,50,,nan
2023-10-24,Burnley,Arsenal,Burnley,F C.,31,,nan
2023-10-20,West Ham,Chelsea,Chelsea,Pablo F.,38,,nan
2023-10-25,Burnley,Sheffield Utd,Sheffield Utd,David H.,89,,nan
2023-09-10,Crystal Palace,Liverpool,Crystal Palace,David F.,55,,nan
2023-09-17,Crystal Palace,Sheffield Utd,Crystal Palace,Pedro D.,29,,nan
2023-10-29,Burnley,Sheffield Utd,Burnley,Carlos D.,63,,nan
2023-10-17,Burnley,Man City,Burnley,Pedro M.,92,,nan
2023-09-03,Bournemouth,Sheffield Utd,Bournemouth,B D.,13,,nan
2023-10-14,Bournemouth,Nottingham Forest,Nottingham Forest,Joel C.,92,,nan
2023-09-22,West Ham,Nottingham Forest,West Ham,Ivan D.,47,,nan
2023-10-17,Burnley,Tottenham,Tottenham,C P.,39,,pen
2023-09-24,Brentford,Man City,Man City,E P.,88,,nan
2023-10-01,Brighton,Chelsea,Brighton,Luis G.,87,,nan
2023-09-02,Bournemouth,Luton Town,Bournemouth,Alex H.,18,,nan
2023-09-03,Everton,Chelsea,Chelsea,Ivan F.,66,,nan
2023-09-24,Aston Villa,Sheffield Utd,Aston Villa,J C.,64,,nan
2023-10-18,Fulham,Leicester,Leicester,Joel H.,1,,nan
2023-10-25,Brentford,Sheffield Utd,Sheffield Utd,David H.,60,,pen
2023-09-15,Fulham,Nottingham Forest,Nottingham Forest,F L.,93,,nan
2023-10-04,Brentford,Sheffield Utd,Brentford,Luis H.,73,,pen
2023-09-27,Brentford,Tottenham,Tottenham,B C.,60,,nan
2023-09-23,Everton,Arsenal,Everton,Pedro G.,55,,pen
2023-10-09,Newcastle Utd,Liverpool,Newcastle Utd,Marco M.,55,,nan
2023-10-01,Brentford,Sheffield Utd,Brentford,Pablo M.,11,,nan
2023-10-22,Newcastle Utd,Arsenal,Arsenal,Ruben M.,21,,nan
2023-10-09,West Ham,Nottingham Forest,West Ham,Joel A.,16,,pen
2023-10-14,Bournemouth,Tottenham,Bournemouth,G L.,5,,nan
2023-10-17,Crystal Palace,Sheffield Utd,Sheffield Utd,Ruben E.,45,,pen
2023-10-19,Aston Villa,Leicester,Aston Villa,David J.,94,,nan
2023-10-06,Crystal Palace,Man City,Man City,D C.,27,,nan
2023-10-09,Aston Villa,Wolves,Wolves,Carlos E.,45,,nan
2023-10-03,Fulham,Leicester,Leicester,Pablo D.,78,,nan
2023-10-30,Everton,Man City,Man City,Joel C.,48,,pen
2023-09-05,Fulham,Tottenham,Tottenham,Marco F.,44,,nan
2023-09-04,Crystal Palace,Arsenal,Arsenal,B I.,39,,nan
2023-10-15,Newcastle Utd,Chelsea,Chelsea,J A.,61,,nan
2023-09-11,Newcastle Utd,Chelsea,Chelsea,Carlos A.,44,,nan
2023-09-10,Bournemouth,Chelsea,Bournemouth,Joel E.,70,,nan
2023-09-18,Brighton,Chelsea,Chelsea,Carlos C.,50,,nan
2023-10-29,Bournemouth,Arsenal,Arsenal,Carlos J.,18,,pen
2023-09-04,Aston Villa,Tottenham,Tottenham,Carlos A.,17,,nan
2023-10-20,Crystal Palace,Luton Town,Crystal Palace,Ruben C.,41,,nan
2023-09-26,Crystal Palace,Arsenal,Arsenal,D M.,93,,nan
2023-10-07,Fulham,Wolves,Wolves,Ruben M.,71,,nan
2023-09-03,Burnley,Luton Town,Burnley,Ivan E.,19,,nan
2023-09-06,Crystal Palace,Wolves,Crystal Palace,Luis F.,91,,pen
2023-09-19,Everton,Man City,Everton,F P.,30,,nan
2023-10-12,Brentford,Liverpool,Brentford,A L.,81,,nan
2023-09-25,Everton,Wolves,Wolves,Luis A.,15,,pen
2023-09-13,Everton,Tottenham,Everton,Carlos A.,61,,nan
2023-09-19,Burnley,Luton Town,Burnley,M A.,13,,nan
2023-09-14,West Ham,Liverpool,West Ham,Pedro A.,50,,nan
2023-09-24,Newcastle Utd,Tottenham,Newcastle Utd,B C.,36,,nan
